collection_id,source,dataset_id,persistent_id,protocol,authority,identifier,publication_date
restat,dataverse,,https://doi.org/10.7910/DVN/JMWMWW,doi,10.7910,DVN/JMWMWW,2016-09-09
restat,dataverse,,https://doi.org/10.7910/DVN/CVEELC,doi,10.7910,DVN/CVEELC,2024-08-30
restat,dataverse,,https://doi.org/10.7910/DVN/IXPM1B,doi,10.7910,DVN/IXPM1B,2024-10-17
restat,dataverse,,https://doi.org/10.7910/DVN/PCN3FP,doi,10.7910,DVN/PCN3FP,2024-12-02
restat,dataverse,,https://doi.org/10.7910/DVN/WFLPUA,doi,10.7910,DVN/WFLPUA,2025-02-18
restat,dataverse,,https://doi.org/10.7910/DVN/HFWW9L,doi,10.7910,DVN/HFWW9L,2025-02-18
restat,dataverse,,https://doi.org/10.7910/DVN/GDSUEC,doi,10.7910,DVN/GDSUEC,2025-02-21
restat,dataverse,,https://doi.org/10.7910/DVN/27757,doi,10.7910,DVN/27757,2014-11-07
restat,dataverse,,https://doi.org/10.7910/DVN/28699,doi,10.7910,DVN/28699,2015-01-16
restat,dataverse,,https://doi.org/10.7910/DVN/22853,doi,10.7910,DVN/22853,2014-03-21
restat,dataverse,,https://doi.org/10.7910/DVN/4S5EFW,doi,10.7910,DVN/4S5EFW,2013-09-09
restat,dataverse,,https://doi.org/10.7910/DVN/WYFVVN,doi,10.7910,DVN/WYFVVN,2013-02-28
restat,dataverse,,https://doi.org/10.7910/DVN/9AVJ61,doi,10.7910,DVN/9AVJ61,2011-01-14
